date,price
2/4/2023 8:45:00 PM,55.162696
2/4/2023 8:50:00 PM,55.015216
2/4/2023 8:55:00 PM,59.636236
2/4/2023 9:00:00 PM,64.609446
2/4/2023 9:05:00 PM,65.191073
2/4/2023 9:10:00 PM,65.719726
2/4/2023 9:15:00 PM,59.453210
2/4/2023 9:20:00 PM,59.265483
2/4/2023 9:25:00 PM,55.440243
2/4/2023 9:30:00 PM,53.410223
2/4/2023 9:35:00 PM,53.215000
2/4/2023 9:40:00 PM,52.982480
2/4/2023 9:45:00 PM,51.946926
2/4/2023 9:50:00 PM,52.605720
2/4/2023 9:55:00 PM,55.392990
2/4/2023 10:00:00 PM,59.774190
2/4/2023 10:05:00 PM,62.727576
2/4/2023 10:10:00 PM,62.174046
2/4/2023 10:15:00 PM,54.062823
2/4/2023 10:20:00 PM,60.986696
2/4/2023 10:25:00 PM,59.301730
2/4/2023 10:30:00 PM,53.511573
2/4/2023 10:35:00 PM,57.476146
2/4/2023 10:40:00 PM,58.939433
2/4/2023 10:45:00 PM,56.641960
2/4/2023 10:50:00 PM,51.097243
2/4/2023 10:55:00 PM,49.110320
2/4/2023 11:00:00 PM,59.095630
2/4/2023 11:05:00 PM,59.095630
2/4/2023 11:10:00 PM,52.155416
2/4/2023 11:15:00 PM,52.626340
2/4/2023 11:20:00 PM,52.096400
2/4/2023 11:25:00 PM,50.598800
2/4/2023 11:30:00 PM,50.000000
2/4/2023 11:35:00 PM,48.975330
2/4/2023 11:40:00 PM,45.800000
2/4/2023 11:45:00 PM,44.997600
2/4/2023 11:50:00 PM,44.980410
2/4/2023 11:55:00 PM,50.583810
